State/UT,TIN,Code,Male Population,Female Population,Area (km2),Male Literacy (%),Fertility Rate,Female Literacy (%)
Rajasthan,8,RJ,35550997,32997440,342239,80.51,,52.66
Madhya Pradesh,23,MP,37612306,35014503,308245,80.53,3.3,60.02
Maharashtra,27,MH,58243056,54131277,307713,89.82,1.9,75.48
Uttar Pradesh,9,UP,104480510,95331831,240928,79.24,3.7,59.26
Jammu and Kashmir,1,JK,6640662,5900640,222236,87.26,2.2,86.23
Gujarat,24,GJ,31491260,28948432,196024,87.23,2.5,70.73
Karnataka,29,KA,30966657,30128640,191791,82.85,1.9,68.13
Andhra Pradesh,37,AD,24738068,24648731,160205,74.77,1.8,59.96
Odisha,21,OD,21212136,20762082,155707,82.4,2.4,64.36
Chhattisgarh,22,CG,12832895,12712303,135191,81.45,3,60.59
Tamil Nadu,33,TN,36137975,36009055,130058,86.81,1.7,73.86
Telangana,36,TS,17704078,17489900,114840,,1.8,
Bihar,10,BR,54278157,49821295,94163,73.39,3.9,53.33
West Bengal,19,WB,46809027,44467088,88752,82.67,1.9,71.16
Arunachal Pradesh,12,AR,713912,669815,83743,73.69,2.7,59.57
Jharkhand,20,JH,16930315,16057819,79714,78.45,3.2,56.21
Assam,18,AS,15939443,15266133,78438,78.81,2.6,67.27
Himachal Pradesh,2,HP,3481873,3382729,55673,90.83,1.9,76.6
Uttarakhand,5,UK,5137773,4948519,53483,88.33,2.6,70.7
Punjab,3,PB,14639465,13103873,50362,81.48,1.9,71.34
Haryana,6,HR,13494734,11856728,44212,85.38,2.5,66.77
Kerala,32,KL,16027412,17378649,38863,96.02,1.7,91.98
Meghalaya,17,ML,1491832,1475057,22429,77.17,3.1,73.78
Manipur,14,MN,1438687,1417107,22327,86.49,1.5,73.17
Mizoram,15,MZ,555339,541867,21081,93.72,,89.4
Nagaland,13,NL,1024649,953853,16579,83.29,2,76.69
Tripura,16,TR,1874376,1799541,10486,92.18,,83.15
Andaman and Nicobar Islands,35,AN,202871,177710,8249,90.11,1.5,81.84
Sikkim,11,SK,323070,287507,7096,87.29,2.1,76.43
Goa,30,GA,739140,719405,3702,92.81,1.6,81.84
Delhi,7,DL,8887326,7800615,1484,91.03,1.9,80.93
Dadra and Nagar Haveli,26,DNHDD,193760,149949,491,86.46,3.3,65.93
Puducherry,34,PY,612511,635442,479,92.12,1.6,
Chandigarh,4,CH,580663,474787,114,xxx,1.8,81.38
Daman and Diu,26,DNHDD,150301,92946,112,91.48,1.9,79.59
Lakshadweep,31,LD,33123,31350,32,96.11,2.1,88.25
Haryana,6,HR,13494734,11856728,44212,85.38,2.5,66.77